0.384046 0.615954 0.00640049 0.0087586
0.384046 0.615877 0.00640049 0.00875785
0.384046 0.6158 0.00640049 0.00875709
0.384046 0.615568 0.00640049 0.00875482
0.384046 0.615337 0.00640049 0.00875255
0.384046 0.615106 0.00640049 0.00875028
0.384046 0.614721 0.00640049 0.00874649
0.384046 0.614412 0.00640049 0.00874346
0.384046 0.61395 0.00640049 0.00873892
0.384046 0.61341 0.00640049 0.00873362
0.384046 0.613025 0.00640049 0.00872983
0.384046 0.612331 0.00640049 0.00872302
0.384046 0.612023 0.00640049 0.00871999
0.384046 0.611252 0.00640049 0.00871241
0.384046 0.61025 0.00640049 0.00870256
0.384046 0.60948 0.00640049 0.00869498
0.384046 0.608632 0.00640049 0.00868664
0.383969 0.607707 0.00639967 0.00867755
0.383969 0.606859 0.00639967 0.0086692
0.383892 0.606089 0.00639885 0.00866162
0.383892 0.605164 0.00639885 0.00865252
0.383892 0.604393 0.00639885 0.00864493
0.383584 0.60316 0.00639557 0.00863279
0.383507 0.602466 0.00639475 0.00862595
0.38343 0.601387 0.00639393 0.00861532
0.38343 0.599923 0.00639393 0.00860089
0.38343 0.598304 0.00639393 0.00858494
0.383276 0.596917 0.00639229 0.00857126
0.383276 0.595838 0.00639229 0.00856061
0.383276 0.593603 0.00639229 0.00853856
0.383198 0.592062 0.00639147 0.00852334
0.383198 0.590443 0.00639147 0.00850735
0.383198 0.588593 0.00639147 0.00848908
0.383121 0.586975 0.00639064 0.00847308
0.383044 0.585511 0.00638982 0.0084586
0.382967 0.583507 0.006389 0.00843877
0.382967 0.581965 0.006389 0.00842351
0.382736 0.580501 0.00638654 0.00840902
0.382736 0.578497 0.00638654 0.00838917
0.382505 0.576185 0.00638408 0.00836625
0.382505 0.574489 0.00638408 0.00834944
0.382505 0.572794 0.00638408 0.00833262
0.382428 0.571175 0.00638326 0.00831655
0.382274 0.569557 0.00638161 0.00830048
0.382197 0.568015 0.00638079 0.00828517
0.382119 0.565934 0.00637997 0.00826449
0.381965 0.563931 0.00637833 0.00824457
0.381734 0.561387 0.00637586 0.00821926
0.381734 0.559152 0.00637586 0.00819701
0.381426 0.556686 0.00637258 0.00817244
0.381426 0.554836 0.00637258 0.00815401
0.381426 0.552755 0.00637258 0.00813325
0.381349 0.55052 0.00637176 0.00811095
0.381118 0.547823 0.00636929 0.00808401
0.380963 0.546204 0.00636765 0.00806784
0.380732 0.545048 0.00636518 0.00805628
0.380732 0.542428 0.00636518 0.00803008
0.380655 0.540578 0.00636436 0.00801157
0.380578 0.538112 0.00636354 0.00798687
0.380424 0.535723 0.00636189 0.00796293
0.38027 0.533025 0.00636025 0.00793587
0.380193 0.530713 0.00635943 0.00791267
0.379961 0.528092 0.00635696 0.00788635
0.379807 0.525472 0.00635532 0.00786001
0.379499 0.522543 0.00635203 0.00783055
0.379422 0.520154 0.0063512 0.0078065
0.379422 0.517148 0.0063512 0.00777621
0.379268 0.514682 0.00634956 0.00775134
0.37896 0.512293 0.00634627 0.00772722
0.378805 0.508748 0.00634462 0.00769141
0.378728 0.505588 0.0063438 0.00765945
0.378728 0.502274 0.0063438 0.0076259
0.378574 0.499422 0.00634216 0.007597
0.378343 0.497418 0.00633969 0.00757667
0.378035 0.495029 0.00633639 0.00755242
0.377881 0.493025 0.00633475 0.00753207
0.377649 0.490636 0.00633228 0.00750778
0.377418 0.488709 0.00632981 0.00748818
0.377264 0.485857 0.00632816 0.00745915
0.377033 0.483083 0.00632569 0.00743087
0.376802 0.481002 0.00632322 0.00740965
0.376802 0.479306 0.00632322 0.00739234
0.376647 0.47684 0.00632157 0.00736715
0.376339 0.473988 0.00631828 0.00733799
0.376108 0.470289 0.00631581 0.00730012
0.375954 0.4679 0.00631416 0.00727564
0.3758 0.46474 0.00631251 0.00724322
0.375491 0.461888 0.00630921 0.00721393
0.37526 0.459576 0.00630674 0.00719016
0.375029 0.457881 0.00630427 0.00717271
0.374875 0.4558 0.00630262 0.00715129
0.374644 0.453719 0.00630014 0.00712984
0.374566 0.451021 0.00629932 0.00710202
0.374412 0.448709 0.00629767 0.00707814
0.374104 0.445703 0.00629437 0.00704707
0.374027 0.443468 0.00629355 0.00702395
0.37395 0.440925 0.00629272 0.0069976
0.373642 0.43815 0.00628942 0.00696883
0.373487 0.436378 0.00628777 0.00695043
0.373333 0.433603 0.00628612 0.00692161
0.373179 0.430983 0.00628447 0.00689435
0.373102 0.428979 0.00628364 0.00687349
0.372948 0.426821 0.00628199 0.006851
0.372486 0.424277 0.00627704 0.00682446
0.372408 0.421349 0.00627621 0.00679387
0.372331 0.418343 0.00627539 0.00676244
0.372177 0.416185 0.00627374 0.00673984
0.371869 0.414644 0.00627043 0.00672368
0.371792 0.412254 0.00626961 0.00669862
0.371484 0.409249 0.0062663 0.00666705
0.371252 0.406936 0.00626383 0.00664273
0.371021 0.404316 0.00626135 0.00661514
0.37079 0.401927 0.00625887 0.00658996
0.370636 0.399923 0.00625721 0.00656881
0.370482 0.397688 0.00625556 0.00654519
0.370173 0.395222 0.00625226 0.00651911
0.370096 0.393449 0.00625143 0.00650034
0.369942 0.391368 0.00624977 0.00647828
0.36948 0.389287 0.00624481 0.00645621
0.369326 0.385742 0.00624316 0.00641853
0.369094 0.3842 0.00624068 0.00640213
0.36894 0.382042 0.00623902 0.00637915
0.368709 0.37896 0.00623654 0.00634627
0.368555 0.376802 0.00623489 0.00632322
0.368401 0.374181 0.00623323 0.0062952
0.368247 0.371869 0.00623158 0.00627043
0.367707 0.370096 0.00622578 0.00625143
